2025-07-23 07:20:53 INFO Starting training with configuration: {'model': {'name': 'unet', 'alias': 'unet_timm-resnest50d', 'encoder_name': 'timm-resnest50d', 'encoder_weights': 'imagenet', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 40, 'dataset_csv': 'laticifer_dataset_index.csv', 'num_workers': 4, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'dist_transform': True, 'feature_dirs': {'enhanced': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 16, 'num_epochs': 70, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints/unet/20250723_072053_unet_efficientnet-b4_clahe', 'log_interval': 1, 'patience': 10, 'mixed_precision': True, 'experiment_name': 'unet_efficientnet-b4_clahe', 'timestamp': '20250723_072053'}, 'test': {'batch_size': 1}, 'loss': {'name': 'hausdorff', 'cldice_alpha': 0.3, 'use_topographic': False, 'combine_with': 'dice', 'weights': {'main': 1, 'combined': 1}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-07-23 07:20:53 INFO Experiment name: unet_efficientnet-b4_clahe
2025-07-23 07:20:53 INFO Loading model unet with settings {'name': 'unet', 'alias': 'unet_timm-resnest50d', 'encoder_name': 'timm-resnest50d', 'encoder_weights': 'imagenet', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}
2025-07-23 07:20:53 INFO Loading pretrained weights from Hugging Face hub (timm/resnest50d.in1k)
2025-07-23 07:20:54 INFO [timm/resnest50d.in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-07-23 07:20:54 INFO Converted input conv conv1.0 pretrained weights from 3 to 1 channel(s)
2025-07-23 07:20:54 INFO Missing keys (fc.weight, fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2025-07-23 07:23:33 INFO Epoch 001 | Train Loss: 17.5433 | Val Loss: 9.6917 | Dice: 0.3539 | clDice: 0.3982 | IoU: 0.2154 | Tversky: 0.3539 | Hausdorff: 331.3595 | HD95: 116.0619 | LR: 0.001000
2025-07-23 07:26:09 INFO Epoch 002 | Train Loss: 13.2542 | Val Loss: 9.0059 | Dice: 0.2940 | clDice: 0.3130 | IoU: 0.1724 | Tversky: 0.2940 | Hausdorff: 483.6766 | HD95: 187.3233 | LR: 0.001000
2025-07-23 07:28:49 INFO Epoch 003 | Train Loss: 13.1626 | Val Loss: 8.7126 | Dice: 0.3825 | clDice: 0.4115 | IoU: 0.2369 | Tversky: 0.3825 | Hausdorff: 461.9130 | HD95: 122.4369 | LR: 0.001000
2025-07-23 07:31:23 INFO Epoch 004 | Train Loss: 13.2514 | Val Loss: 8.6781 | Dice: 0.3964 | clDice: 0.4312 | IoU: 0.2478 | Tversky: 0.3964 | Hausdorff: 363.1681 | HD95: 102.9446 | LR: 0.001000
2025-07-23 07:34:05 INFO Epoch 005 | Train Loss: 13.1563 | Val Loss: 8.7108 | Dice: 0.2651 | clDice: 0.2793 | IoU: 0.1530 | Tversky: 0.2651 | Hausdorff: 450.7188 | HD95: 224.6325 | LR: 0.001000
2025-07-23 07:36:40 INFO Epoch 006 | Train Loss: 13.0687 | Val Loss: 8.6199 | Dice: 0.3559 | clDice: 0.3852 | IoU: 0.2171 | Tversky: 0.3559 | Hausdorff: 504.6238 | HD95: 166.0772 | LR: 0.001000
2025-07-23 07:39:17 INFO Epoch 007 | Train Loss: 13.0104 | Val Loss: 8.6021 | Dice: 0.3697 | clDice: 0.3977 | IoU: 0.2268 | Tversky: 0.3697 | Hausdorff: 571.7872 | HD95: 196.4462 | LR: 0.001000
2025-07-23 07:42:00 INFO Epoch 008 | Train Loss: 13.0084 | Val Loss: 8.5768 | Dice: 0.4089 | clDice: 0.4475 | IoU: 0.2574 | Tversky: 0.4089 | Hausdorff: 461.7968 | HD95: 122.3723 | LR: 0.001000
2025-07-23 07:44:35 INFO Epoch 009 | Train Loss: 13.0234 | Val Loss: 8.5613 | Dice: 0.4072 | clDice: 0.4413 | IoU: 0.2559 | Tversky: 0.4072 | Hausdorff: 420.4177 | HD95: 120.1002 | LR: 0.001000
2025-07-23 07:47:19 INFO Epoch 010 | Train Loss: 12.9271 | Val Loss: 8.5649 | Dice: 0.3880 | clDice: 0.4160 | IoU: 0.2409 | Tversky: 0.3880 | Hausdorff: 512.0577 | HD95: 158.0600 | LR: 0.001000
2025-07-23 07:50:00 INFO Epoch 011 | Train Loss: 13.0619 | Val Loss: 8.5604 | Dice: 0.3882 | clDice: 0.4156 | IoU: 0.2410 | Tversky: 0.3882 | Hausdorff: 408.9365 | HD95: 133.1962 | LR: 0.001000
