2025-08-15 08:54:49 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'resnet50', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 40, 'num_workers': 4, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 50, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv/unet/20250815_085449_unet_resnet50_dice_cldice0.5', 'log_interval': 1, 'patience': 10, 'mixed_precision': True, 'experiment_name': 'unet_resnet50_dice_cldice0.5', 'timestamp': '20250815_085449'}, 'test': {'batch_size': 1}, 'loss': {'name': 'bce', 'cldice_alpha': 0.3, 'use_topographic': False, 'combine_with': 'tversky', 'weights': {'main': 0.5, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-15 08:54:49 INFO Experiment name: unet_resnet50_dice_cldice0.5
2025-08-15 08:54:49 INFO ===== Fold 1 / 5 =====
2025-08-15 08:54:49 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'resnet50', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-15 08:56:34 INFO Epoch 001 | Train Loss: 0.5645 | Val Loss: 0.4805 | Dice: 0.2030 | clDice: 0.2114 | IoU: 0.1135 | Tversky: 0.2030 | Hausdorff: 503.4751 | HD95: 128.8072 | LR: 0.001000
2025-08-15 08:58:22 INFO Epoch 002 | Train Loss: 0.4261 | Val Loss: 0.4062 | Dice: 0.4094 | clDice: 0.4466 | IoU: 0.2577 | Tversky: 0.4094 | Hausdorff: 474.7406 | HD95: 76.6507 | LR: 0.001000
2025-08-15 09:00:06 INFO Epoch 003 | Train Loss: 0.4032 | Val Loss: 0.4115 | Dice: 0.4081 | clDice: 0.4389 | IoU: 0.2569 | Tversky: 0.4081 | Hausdorff: 698.3652 | HD95: 81.6138 | LR: 0.001000
2025-08-15 09:01:52 INFO Epoch 004 | Train Loss: 0.3959 | Val Loss: 0.3867 | Dice: 0.4086 | clDice: 0.4464 | IoU: 0.2569 | Tversky: 0.4086 | Hausdorff: 261.7762 | HD95: 92.1002 | LR: 0.001000
2025-08-15 09:03:40 INFO Epoch 005 | Train Loss: 0.3911 | Val Loss: 0.3647 | Dice: 0.4524 | clDice: 0.4957 | IoU: 0.2927 | Tversky: 0.4524 | Hausdorff: 247.4477 | HD95: 54.5135 | LR: 0.001000
2025-08-15 09:05:26 INFO Epoch 006 | Train Loss: 0.3873 | Val Loss: 0.3578 | Dice: 0.4632 | clDice: 0.5059 | IoU: 0.3018 | Tversky: 0.4632 | Hausdorff: 241.1332 | HD95: 55.7324 | LR: 0.001000
2025-08-15 09:07:12 INFO Epoch 007 | Train Loss: 0.3860 | Val Loss: 0.3598 | Dice: 0.4673 | clDice: 0.5205 | IoU: 0.3052 | Tversky: 0.4673 | Hausdorff: 244.5440 | HD95: 51.4613 | LR: 0.001000
2025-08-15 09:08:55 INFO Epoch 008 | Train Loss: 0.3842 | Val Loss: 0.3567 | Dice: 0.4598 | clDice: 0.5059 | IoU: 0.2990 | Tversky: 0.4598 | Hausdorff: 240.8419 | HD95: 52.9562 | LR: 0.001000
2025-08-15 09:10:42 INFO Epoch 009 | Train Loss: 0.3802 | Val Loss: 0.3701 | Dice: 0.4305 | clDice: 0.4677 | IoU: 0.2745 | Tversky: 0.4305 | Hausdorff: 276.8793 | HD95: 77.9827 | LR: 0.001000
2025-08-15 09:12:29 INFO Epoch 010 | Train Loss: 0.3802 | Val Loss: 0.3532 | Dice: 0.4655 | clDice: 0.5078 | IoU: 0.3038 | Tversky: 0.4655 | Hausdorff: 241.0618 | HD95: 54.6002 | LR: 0.001000
2025-08-15 09:14:13 INFO Epoch 011 | Train Loss: 0.3784 | Val Loss: 0.3520 | Dice: 0.4713 | clDice: 0.5178 | IoU: 0.3086 | Tversky: 0.4713 | Hausdorff: 251.4225 | HD95: 47.4939 | LR: 0.001000
2025-08-15 09:16:00 INFO Epoch 012 | Train Loss: 0.3790 | Val Loss: 0.3554 | Dice: 0.4616 | clDice: 0.5054 | IoU: 0.3004 | Tversky: 0.4616 | Hausdorff: 249.8353 | HD95: 45.1268 | LR: 0.001000
2025-08-15 09:17:49 INFO Epoch 013 | Train Loss: 0.3767 | Val Loss: 0.3499 | Dice: 0.4749 | clDice: 0.5190 | IoU: 0.3119 | Tversky: 0.4749 | Hausdorff: 228.8482 | HD95: 43.9733 | LR: 0.001000
2025-08-15 09:19:33 INFO Epoch 014 | Train Loss: 0.3775 | Val Loss: 0.3473 | Dice: 0.4797 | clDice: 0.5307 | IoU: 0.3160 | Tversky: 0.4797 | Hausdorff: 255.1377 | HD95: 45.7485 | LR: 0.001000
2025-08-15 09:21:23 INFO Epoch 015 | Train Loss: 0.3741 | Val Loss: 0.3501 | Dice: 0.4722 | clDice: 0.5219 | IoU: 0.3095 | Tversky: 0.4722 | Hausdorff: 228.4633 | HD95: 41.6617 | LR: 0.001000
2025-08-15 09:23:07 INFO Epoch 016 | Train Loss: 0.3746 | Val Loss: 0.3484 | Dice: 0.4764 | clDice: 0.5286 | IoU: 0.3130 | Tversky: 0.4764 | Hausdorff: 230.1704 | HD95: 41.3055 | LR: 0.001000
2025-08-15 09:24:53 INFO Epoch 017 | Train Loss: 0.3747 | Val Loss: 0.3494 | Dice: 0.4656 | clDice: 0.5051 | IoU: 0.3041 | Tversky: 0.4656 | Hausdorff: 243.7601 | HD95: 45.9090 | LR: 0.001000
2025-08-15 09:26:37 INFO Epoch 018 | Train Loss: 0.3736 | Val Loss: 0.3571 | Dice: 0.4676 | clDice: 0.5126 | IoU: 0.3056 | Tversky: 0.4676 | Hausdorff: 224.3689 | HD95: 41.7370 | LR: 0.001000
2025-08-15 09:28:19 INFO Epoch 019 | Train Loss: 0.3692 | Val Loss: 0.3477 | Dice: 0.4723 | clDice: 0.5166 | IoU: 0.3095 | Tversky: 0.4723 | Hausdorff: 242.1062 | HD95: 47.2424 | LR: 0.001000
2025-08-15 09:30:12 INFO Epoch 020 | Train Loss: 0.3700 | Val Loss: 0.3452 | Dice: 0.4805 | clDice: 0.5323 | IoU: 0.3167 | Tversky: 0.4805 | Hausdorff: 229.2989 | HD95: 39.4994 | LR: 0.001000
2025-08-15 09:31:53 INFO Epoch 021 | Train Loss: 0.3695 | Val Loss: 0.3459 | Dice: 0.4753 | clDice: 0.5199 | IoU: 0.3122 | Tversky: 0.4753 | Hausdorff: 228.9807 | HD95: 37.8081 | LR: 0.001000
2025-08-15 09:33:37 INFO Epoch 022 | Train Loss: 0.3706 | Val Loss: 0.3470 | Dice: 0.4739 | clDice: 0.5184 | IoU: 0.3110 | Tversky: 0.4739 | Hausdorff: 245.8715 | HD95: 37.7338 | LR: 0.001000
2025-08-15 09:35:23 INFO Epoch 023 | Train Loss: 0.3710 | Val Loss: 0.3474 | Dice: 0.4726 | clDice: 0.5187 | IoU: 0.3099 | Tversky: 0.4726 | Hausdorff: 231.0698 | HD95: 49.5491 | LR: 0.001000
2025-08-15 09:37:05 INFO Epoch 024 | Train Loss: 0.3676 | Val Loss: 0.3531 | Dice: 0.4550 | clDice: 0.4929 | IoU: 0.2948 | Tversky: 0.4550 | Hausdorff: 228.1527 | HD95: 52.1133 | LR: 0.001000
2025-08-15 09:38:49 INFO Epoch 025 | Train Loss: 0.3711 | Val Loss: 0.3505 | Dice: 0.4633 | clDice: 0.5063 | IoU: 0.3020 | Tversky: 0.4633 | Hausdorff: 245.6436 | HD95: 47.1614 | LR: 0.001000
