/data/smadper@alumno.upv.es/TFM/env/lib/python3.8/site-packages/albumentations/__init__.py:13: UserWarning: A new version of Albumentations is available: 2.0.8 (you have 1.4.18). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.
  check_for_updates()
2025-07-20 21:51:18 INFO Starting training with configuration: {'model': {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'imagenet', 'in_channels': 2, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'image_size': [512, 512], 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 40, 'dataset_csv': 'laticifer_dataset_index.csv', 'num_workers': 8, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'dist_transform': True, 'feature_dirs': {'enhanced': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'sato': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/sato_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 16, 'num_epochs': 50, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints', 'log_interval': 1, 'patience': 10, 'experiment_name': 'unet_sato_resnet18_dropout', 'timestamp': '20250720_215118'}, 'test': {'batch_size': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/results'}, 'loss': {'name': 'bce', 'cldice_alpha': 0.3, 'use_topographic': False, 'combine_with': 'dice', 'weights': {'main': 0.5, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-07-20 21:51:18 INFO Experiment name: unet_sato_resnet18_dropout
2025-07-20 21:51:18 INFO Loading model unet with settings {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'imagenet', 'in_channels': 2, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}
/data/smadper@alumno.upv.es/TFM/src/datasets.py:240: UserWarning: Argument 'alpha_affine' is not valid and will be ignored.
  A.ElasticTransform(alpha=120, sigma=120 * 0.05, alpha_affine=120 * 0.03, p=0.3),
2025-07-20 21:52:25 INFO Epoch 001 | Train Loss: 0.5875 | Val Loss: 0.4996 | Dice: 0.2968 | clDice: 0.3567 |IoU: 0.1746 | LR: 0.001000
2025-07-20 21:53:33 INFO Epoch 002 | Train Loss: 0.5012 | Val Loss: 0.4066 | Dice: 0.3995 | clDice: 0.4539 |IoU: 0.2498 | LR: 0.001000
2025-07-20 21:54:41 INFO Epoch 003 | Train Loss: 0.4849 | Val Loss: 0.4007 | Dice: 0.4310 | clDice: 0.4705 |IoU: 0.2748 | LR: 0.001000
2025-07-20 21:55:51 INFO Epoch 004 | Train Loss: 0.4790 | Val Loss: 0.4131 | Dice: 0.4143 | clDice: 0.4848 |IoU: 0.2613 | LR: 0.001000
2025-07-20 21:57:01 INFO Epoch 005 | Train Loss: 0.4769 | Val Loss: 0.3818 | Dice: 0.4356 | clDice: 0.4716 |IoU: 0.2785 | LR: 0.001000
2025-07-20 21:58:07 INFO Epoch 006 | Train Loss: 0.4713 | Val Loss: 0.3790 | Dice: 0.4273 | clDice: 0.4585 |IoU: 0.2718 | LR: 0.001000
2025-07-20 21:59:17 INFO Epoch 007 | Train Loss: 0.4723 | Val Loss: 0.3846 | Dice: 0.4231 | clDice: 0.4580 |IoU: 0.2684 | LR: 0.001000
2025-07-20 22:00:25 INFO Epoch 008 | Train Loss: 0.4684 | Val Loss: 0.3674 | Dice: 0.4543 | clDice: 0.4928 |IoU: 0.2940 | LR: 0.001000
2025-07-20 22:01:31 INFO Epoch 009 | Train Loss: 0.4680 | Val Loss: 0.3790 | Dice: 0.4533 | clDice: 0.5050 |IoU: 0.2932 | LR: 0.001000
2025-07-20 22:02:41 INFO Epoch 010 | Train Loss: 0.4642 | Val Loss: 0.3716 | Dice: 0.4515 | clDice: 0.4862 |IoU: 0.2917 | LR: 0.001000
2025-07-20 22:03:50 INFO Epoch 011 | Train Loss: 0.4598 | Val Loss: 0.3671 | Dice: 0.4641 | clDice: 0.5107 |IoU: 0.3023 | LR: 0.001000
2025-07-20 22:04:58 INFO Epoch 012 | Train Loss: 0.4604 | Val Loss: 0.3668 | Dice: 0.4671 | clDice: 0.5103 |IoU: 0.3050 | LR: 0.001000
2025-07-20 22:06:03 INFO Epoch 013 | Train Loss: 0.4608 | Val Loss: 0.3591 | Dice: 0.4592 | clDice: 0.5036 |IoU: 0.2981 | LR: 0.001000
2025-07-20 22:07:11 INFO Epoch 014 | Train Loss: 0.4619 | Val Loss: 0.3617 | Dice: 0.4655 | clDice: 0.5020 |IoU: 0.3037 | LR: 0.001000
