2025-08-16 16:30:51 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'resnet34', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 50, 'num_workers': 8, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 50, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv2/unet/20250816_163051_unet_resnet34_bce0.5_dice0.5', 'log_interval': 1, 'patience': 100, 'mixed_precision': True, 'experiment_name': 'unet_resnet34_bce0.5_dice0.5', 'timestamp': '20250816_163051'}, 'test': {'batch_size': 1}, 'loss': {'name': 'bce', 'cldice_alpha': 0.5, 'use_topographic': False, 'combine_with': 'dice', 'weights': {'main': 0.5, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-16 16:30:51 INFO Experiment name: unet_resnet34_bce0.5_dice0.5
2025-08-16 16:30:51 INFO ===== Fold 1 / 5 =====
2025-08-16 16:30:51 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'resnet34', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-16 16:33:49 INFO Epoch 001 | Train Loss: 0.6118 | Val Loss: 0.6040 | Dice: 0.3551 | softDice: 0.1921 | clDice: 0.4015 | softclDice: 0.8329 | IoU: 0.2162 | Tversky: 0.3551 | Hausdorff: 446.6326 | HD95: 113.3949 | LR: 0.001000
2025-08-16 16:36:38 INFO Epoch 002 | Train Loss: 0.4461 | Val Loss: 0.5732 | Dice: 0.3581 | softDice: 0.2656 | clDice: 0.3756 | softclDice: 0.7160 | IoU: 0.2186 | Tversky: 0.3581 | Hausdorff: 478.2838 | HD95: 92.0102 | LR: 0.001000
2025-08-16 16:39:25 INFO Epoch 003 | Train Loss: 0.4081 | Val Loss: 0.5672 | Dice: 0.3911 | softDice: 0.3286 | clDice: 0.4177 | softclDice: 0.6470 | IoU: 0.2434 | Tversky: 0.3911 | Hausdorff: 524.0683 | HD95: 94.6733 | LR: 0.001000
2025-08-16 16:42:16 INFO Epoch 004 | Train Loss: 0.3955 | Val Loss: 0.5603 | Dice: 0.4582 | softDice: 0.3843 | clDice: 0.5033 | softclDice: 0.5593 | IoU: 0.2975 | Tversky: 0.4582 | Hausdorff: 269.9782 | HD95: 52.0111 | LR: 0.001000
2025-08-16 16:45:03 INFO Epoch 005 | Train Loss: 0.3898 | Val Loss: 0.5605 | Dice: 0.4447 | softDice: 0.3862 | clDice: 0.4821 | softclDice: 0.5674 | IoU: 0.2863 | Tversky: 0.4447 | Hausdorff: 233.2109 | HD95: 58.6874 | LR: 0.001000
2025-08-16 16:47:48 INFO Epoch 006 | Train Loss: 0.3809 | Val Loss: 0.5618 | Dice: 0.4614 | softDice: 0.4085 | clDice: 0.5122 | softclDice: 0.5307 | IoU: 0.3002 | Tversky: 0.4614 | Hausdorff: 263.5311 | HD95: 74.3338 | LR: 0.001000
2025-08-16 16:50:34 INFO Epoch 007 | Train Loss: 0.3827 | Val Loss: 0.5631 | Dice: 0.4196 | softDice: 0.3707 | clDice: 0.4569 | softclDice: 0.5893 | IoU: 0.2659 | Tversky: 0.4196 | Hausdorff: 311.9555 | HD95: 108.1525 | LR: 0.001000
2025-08-16 16:53:18 INFO Epoch 008 | Train Loss: 0.3822 | Val Loss: 0.5598 | Dice: 0.4588 | softDice: 0.4024 | clDice: 0.5056 | softclDice: 0.5372 | IoU: 0.2982 | Tversky: 0.4588 | Hausdorff: 264.9782 | HD95: 68.4522 | LR: 0.001000
2025-08-16 16:56:04 INFO Epoch 009 | Train Loss: 0.3766 | Val Loss: 0.5587 | Dice: 0.4695 | softDice: 0.4115 | clDice: 0.5159 | softclDice: 0.5278 | IoU: 0.3072 | Tversky: 0.4695 | Hausdorff: 228.0054 | HD95: 50.1877 | LR: 0.001000
2025-08-16 16:58:50 INFO Epoch 010 | Train Loss: 0.3748 | Val Loss: 0.5603 | Dice: 0.4628 | softDice: 0.4064 | clDice: 0.5068 | softclDice: 0.5370 | IoU: 0.3015 | Tversky: 0.4628 | Hausdorff: 231.8029 | HD95: 47.8081 | LR: 0.001000
2025-08-16 17:01:35 INFO Epoch 011 | Train Loss: 0.3734 | Val Loss: 0.5611 | Dice: 0.4740 | softDice: 0.4206 | clDice: 0.5191 | softclDice: 0.5213 | IoU: 0.3109 | Tversky: 0.4740 | Hausdorff: 238.4077 | HD95: 44.3431 | LR: 0.001000
