2025-08-21 01:04:58 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'se_resnext50_32x4d', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 50, 'num_workers': 4, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 70, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv2/unet/20250821_010458_unet_se_resnext50_32x4d_dice_cldice0.3', 'log_interval': 1, 'patience': 20, 'mixed_precision': True, 'experiment_name': 'unet_se_resnext50_32x4d_dice_cldice0.3', 'timestamp': '20250821_010458'}, 'test': {'batch_size': 1}, 'loss': {'name': 'dice_cldice', 'cldice_alpha': 0.3, 'tversky_alpha': 0.3, 'tversky_beta': 0.7, 'focal_tversky_gamma': 0.75, 'use_topographic': False, 'combine_with': None, 'weights': {'main': 1.0, 'combined': 0.0}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-21 01:04:58 INFO Experiment name: unet_se_resnext50_32x4d_dice_cldice0.3
2025-08-21 01:04:58 INFO ===== Fold 1 / 5 =====
2025-08-21 01:04:58 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'se_resnext50_32x4d', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-21 01:08:32 INFO Epoch 001 | Train Loss: 0.7630 | Val Loss: 1.0000 | Dice: 0.2755 | softDice: 0.1791 | clDice: 0.3930 | softclDice: 0.5963 | IoU: 0.1601 | Tversky: 0.2755 | Hausdorff: 787.3783 | HD95: 165.9471 | val_loss: 1.0000 | LR: 0.001000
2025-08-21 01:11:54 INFO Epoch 002 | Train Loss: 0.6284 | Val Loss: 1.0000 | Dice: 0.4129 | softDice: 0.3262 | clDice: 0.4695 | softclDice: 0.5508 | IoU: 0.2603 | Tversky: 0.4129 | Hausdorff: 611.9440 | HD95: 73.2536 | val_loss: 1.0000 | LR: 0.001000
2025-08-21 01:15:15 INFO Epoch 003 | Train Loss: 0.5723 | Val Loss: 0.8773 | Dice: 0.4121 | softDice: 0.3959 | clDice: 0.4833 | softclDice: 0.5222 | IoU: 0.2596 | Tversky: 0.4121 | Hausdorff: 611.3848 | HD95: 78.9641 | val_loss: 0.8773 | LR: 0.001000
2025-08-21 01:18:43 INFO Epoch 004 | Train Loss: 0.5619 | Val Loss: 0.8360 | Dice: 0.3676 | softDice: 0.3646 | clDice: 0.4699 | softclDice: 0.4812 | IoU: 0.2253 | Tversky: 0.3676 | Hausdorff: 531.9558 | HD95: 93.2084 | val_loss: 0.8360 | LR: 0.001000
2025-08-21 01:22:06 INFO Epoch 005 | Train Loss: 0.6105 | Val Loss: 0.8660 | Dice: 0.3713 | softDice: 0.3622 | clDice: 0.4508 | softclDice: 0.5669 | IoU: 0.2281 | Tversky: 0.3713 | Hausdorff: 733.1036 | HD95: 97.5452 | val_loss: 0.8660 | LR: 0.001000
2025-08-21 01:25:30 INFO Epoch 006 | Train Loss: 0.5802 | Val Loss: 0.8693 | Dice: 0.3974 | softDice: 0.3936 | clDice: 0.4746 | softclDice: 0.5669 | IoU: 0.2480 | Tversky: 0.3974 | Hausdorff: 683.1203 | HD95: 85.7574 | val_loss: 0.8693 | LR: 0.001000
2025-08-21 01:28:51 INFO Epoch 007 | Train Loss: 0.5995 | Val Loss: 0.8566 | Dice: 0.3779 | softDice: 0.3695 | clDice: 0.4614 | softclDice: 0.5237 | IoU: 0.2333 | Tversky: 0.3779 | Hausdorff: 299.7595 | HD95: 100.7519 | val_loss: 0.8566 | LR: 0.001000
2025-08-21 01:32:14 INFO Epoch 008 | Train Loss: 0.6196 | Val Loss: 0.8577 | Dice: 0.3306 | softDice: 0.3295 | clDice: 0.4197 | softclDice: 0.5529 | IoU: 0.1983 | Tversky: 0.3306 | Hausdorff: 440.5826 | HD95: 112.7547 | val_loss: 0.8577 | LR: 0.001000
2025-08-21 01:35:39 INFO Epoch 009 | Train Loss: 0.6452 | Val Loss: 0.8968 | Dice: 0.2434 | softDice: 0.2443 | clDice: 0.2938 | softclDice: 0.6058 | IoU: 0.1388 | Tversky: 0.2434 | Hausdorff: 788.0522 | HD95: 332.3446 | val_loss: 0.8968 | LR: 0.001000
2025-08-21 01:38:59 INFO Epoch 010 | Train Loss: 0.6159 | Val Loss: 0.8891 | Dice: 0.3379 | softDice: 0.3355 | clDice: 0.4271 | softclDice: 0.5114 | IoU: 0.2034 | Tversky: 0.3379 | Hausdorff: 726.4058 | HD95: 110.5096 | val_loss: 0.8891 | LR: 0.000500
2025-08-21 01:42:23 INFO Epoch 011 | Train Loss: 0.5922 | Val Loss: 0.8408 | Dice: 0.3188 | softDice: 0.3210 | clDice: 0.4275 | softclDice: 0.5242 | IoU: 0.1898 | Tversky: 0.3188 | Hausdorff: 690.8275 | HD95: 138.7436 | val_loss: 0.8408 | LR: 0.000500
