2025-08-21 01:17:19 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'se_resnext50_32x4d', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 50, 'num_workers': 4, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 70, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv2/unet/20250821_011719_unet_se_resnext50_32x4d_bce0.5_wdice0.5', 'log_interval': 1, 'patience': 20, 'mixed_precision': True, 'experiment_name': 'unet_se_resnext50_32x4d_bce0.5_wdice0.5', 'timestamp': '20250821_011719'}, 'test': {'batch_size': 1}, 'loss': {'name': 'dice', 'cldice_alpha': 0.2, 'tversky_alpha': 0.3, 'tversky_beta': 0.7, 'focal_tversky_gamma': 0.75, 'use_topographic': True, 'combine_with': 'bce', 'weights': {'main': 1.0, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-21 01:17:19 INFO Experiment name: unet_se_resnext50_32x4d_bce0.5_wdice0.5
2025-08-21 01:17:19 INFO ===== Fold 1 / 5 =====
2025-08-21 01:17:19 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'se_resnext50_32x4d', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-21 01:19:17 INFO Epoch 001 | Train Loss: 1.1300 | Val Loss: 1.0165 | Dice: 0.4146 | softDice: 0.2166 | clDice: 0.4770 | softclDice: 0.8080 | IoU: 0.2615 | Tversky: 0.4146 | Hausdorff: 688.0212 | HD95: 74.3772 | val_loss: 1.0165 | LR: 0.001000
2025-08-21 01:21:10 INFO Epoch 002 | Train Loss: 0.8399 | Val Loss: 0.7961 | Dice: 0.3875 | softDice: 0.3160 | clDice: 0.4178 | softclDice: 0.6512 | IoU: 0.2405 | Tversky: 0.3875 | Hausdorff: 311.6826 | HD95: 90.6685 | val_loss: 0.7961 | LR: 0.001000
2025-08-21 01:23:08 INFO Epoch 003 | Train Loss: 0.7370 | Val Loss: 0.7064 | Dice: 0.4492 | softDice: 0.4027 | clDice: 0.4996 | softclDice: 0.5516 | IoU: 0.2899 | Tversky: 0.4492 | Hausdorff: 265.9287 | HD95: 54.0539 | val_loss: 0.7064 | LR: 0.001000
2025-08-21 01:25:02 INFO Epoch 004 | Train Loss: 0.7140 | Val Loss: 0.6795 | Dice: 0.4609 | softDice: 0.4258 | clDice: 0.5214 | softclDice: 0.5177 | IoU: 0.2996 | Tversky: 0.4609 | Hausdorff: 244.3994 | HD95: 53.4488 | val_loss: 0.6795 | LR: 0.001000
2025-08-21 01:26:50 INFO Epoch 005 | Train Loss: 0.7014 | Val Loss: 0.6675 | Dice: 0.4557 | softDice: 0.4259 | clDice: 0.5052 | softclDice: 0.5243 | IoU: 0.2953 | Tversky: 0.4557 | Hausdorff: 258.5046 | HD95: 58.9154 | val_loss: 0.6675 | LR: 0.001000
2025-08-21 01:28:45 INFO Epoch 006 | Train Loss: 0.6890 | Val Loss: 0.6641 | Dice: 0.4688 | softDice: 0.4352 | clDice: 0.5208 | softclDice: 0.5127 | IoU: 0.3063 | Tversky: 0.4688 | Hausdorff: 232.8426 | HD95: 45.0201 | val_loss: 0.6641 | LR: 0.001000
2025-08-21 01:30:36 INFO Epoch 007 | Train Loss: 0.6906 | Val Loss: 0.6693 | Dice: 0.4582 | softDice: 0.4313 | clDice: 0.5141 | softclDice: 0.5145 | IoU: 0.2976 | Tversky: 0.4582 | Hausdorff: 221.0573 | HD95: 50.4703 | val_loss: 0.6693 | LR: 0.001000
2025-08-21 01:32:25 INFO Epoch 008 | Train Loss: 0.6862 | Val Loss: 0.6582 | Dice: 0.4771 | softDice: 0.4430 | clDice: 0.5407 | softclDice: 0.4913 | IoU: 0.3135 | Tversky: 0.4771 | Hausdorff: 240.5421 | HD95: 46.6665 | val_loss: 0.6582 | LR: 0.001000
2025-08-21 01:34:16 INFO Epoch 009 | Train Loss: 0.6848 | Val Loss: 0.6644 | Dice: 0.4528 | softDice: 0.4269 | clDice: 0.4979 | softclDice: 0.5267 | IoU: 0.2929 | Tversky: 0.4528 | Hausdorff: 236.2181 | HD95: 57.8453 | val_loss: 0.6644 | LR: 0.001000
2025-08-21 01:36:04 INFO Epoch 010 | Train Loss: 0.6807 | Val Loss: 0.6578 | Dice: 0.4718 | softDice: 0.4422 | clDice: 0.5345 | softclDice: 0.4937 | IoU: 0.3090 | Tversky: 0.4718 | Hausdorff: 232.9392 | HD95: 47.4989 | val_loss: 0.6578 | LR: 0.001000
2025-08-21 01:37:56 INFO Epoch 011 | Train Loss: 0.6813 | Val Loss: 0.6577 | Dice: 0.4683 | softDice: 0.4432 | clDice: 0.5271 | softclDice: 0.4980 | IoU: 0.3061 | Tversky: 0.4683 | Hausdorff: 231.0999 | HD95: 44.9316 | val_loss: 0.6577 | LR: 0.001000
2025-08-21 01:39:47 INFO Epoch 012 | Train Loss: 0.6719 | Val Loss: 0.6571 | Dice: 0.4619 | softDice: 0.4354 | clDice: 0.5081 | softclDice: 0.5144 | IoU: 0.3007 | Tversky: 0.4619 | Hausdorff: 226.0866 | HD95: 47.8639 | val_loss: 0.6571 | LR: 0.001000
