2025-08-16 21:06:55 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'timm-efficientnet-b0', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 50, 'num_workers': 8, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 50, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv2/unet/20250816_210655_unet_timm-efficientnet-b0_bce0.5_dice0.5', 'log_interval': 1, 'patience': 100, 'mixed_precision': True, 'experiment_name': 'unet_timm-efficientnet-b0_bce0.5_dice0.5', 'timestamp': '20250816_210655'}, 'test': {'batch_size': 1}, 'loss': {'name': 'bce', 'cldice_alpha': 0.5, 'use_topographic': False, 'combine_with': 'dice', 'weights': {'main': 0.5, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-16 21:06:55 INFO Experiment name: unet_timm-efficientnet-b0_bce0.5_dice0.5
2025-08-16 21:06:55 INFO ===== Fold 1 / 5 =====
2025-08-16 21:06:55 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'timm-efficientnet-b0', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-16 21:08:31 INFO Epoch 001 | Train Loss: 0.4912 | Val Loss: 0.5769 | Dice: 0.4377 | softDice: 0.3526 | clDice: 0.5018 | softclDice: 0.6647 | IoU: 0.2803 | Tversky: 0.4377 | Hausdorff: 224.2424 | HD95: 51.0159 | LR: 0.001000
2025-08-16 21:10:00 INFO Epoch 002 | Train Loss: 0.4009 | Val Loss: 0.5603 | Dice: 0.4435 | softDice: 0.3741 | clDice: 0.4836 | softclDice: 0.5854 | IoU: 0.2853 | Tversky: 0.4435 | Hausdorff: 381.5449 | HD95: 51.4394 | LR: 0.001000
2025-08-16 21:11:29 INFO Epoch 003 | Train Loss: 0.3902 | Val Loss: 0.5651 | Dice: 0.4644 | softDice: 0.4012 | clDice: 0.5157 | softclDice: 0.5477 | IoU: 0.3026 | Tversky: 0.4644 | Hausdorff: 236.2254 | HD95: 39.6129 | LR: 0.001000
2025-08-16 21:12:59 INFO Epoch 004 | Train Loss: 0.3844 | Val Loss: 0.5688 | Dice: 0.4643 | softDice: 0.4137 | clDice: 0.5207 | softclDice: 0.5260 | IoU: 0.3026 | Tversky: 0.4643 | Hausdorff: 382.4553 | HD95: 35.5726 | LR: 0.001000
2025-08-16 21:14:32 INFO Epoch 005 | Train Loss: 0.3782 | Val Loss: 0.5649 | Dice: 0.4627 | softDice: 0.4103 | clDice: 0.5097 | softclDice: 0.5361 | IoU: 0.3012 | Tversky: 0.4627 | Hausdorff: 235.5436 | HD95: 38.4243 | LR: 0.001000
2025-08-16 21:16:02 INFO Epoch 006 | Train Loss: 0.3754 | Val Loss: 0.5673 | Dice: 0.4674 | softDice: 0.4199 | clDice: 0.5247 | softclDice: 0.5163 | IoU: 0.3053 | Tversky: 0.4674 | Hausdorff: 237.7374 | HD95: 38.6658 | LR: 0.001000
2025-08-16 21:17:33 INFO Epoch 007 | Train Loss: 0.3750 | Val Loss: 0.5646 | Dice: 0.4732 | softDice: 0.4189 | clDice: 0.5243 | softclDice: 0.5188 | IoU: 0.3102 | Tversky: 0.4732 | Hausdorff: 406.1220 | HD95: 39.2787 | LR: 0.001000
2025-08-16 21:19:02 INFO Epoch 008 | Train Loss: 0.3707 | Val Loss: 0.5614 | Dice: 0.4662 | softDice: 0.4133 | clDice: 0.5157 | softclDice: 0.5238 | IoU: 0.3043 | Tversky: 0.4662 | Hausdorff: 240.3616 | HD95: 36.2095 | LR: 0.000500
2025-08-16 21:20:33 INFO Epoch 009 | Train Loss: 0.3716 | Val Loss: 0.5599 | Dice: 0.4718 | softDice: 0.4201 | clDice: 0.5182 | softclDice: 0.5209 | IoU: 0.3091 | Tversky: 0.4718 | Hausdorff: 221.1846 | HD95: 35.3222 | LR: 0.000500
2025-08-16 21:22:02 INFO Epoch 010 | Train Loss: 0.3668 | Val Loss: 0.5613 | Dice: 0.4688 | softDice: 0.4187 | clDice: 0.5159 | softclDice: 0.5232 | IoU: 0.3065 | Tversky: 0.4688 | Hausdorff: 220.9871 | HD95: 36.2525 | LR: 0.000500
2025-08-16 21:23:33 INFO Epoch 011 | Train Loss: 0.3638 | Val Loss: 0.5604 | Dice: 0.4781 | softDice: 0.4273 | clDice: 0.5283 | softclDice: 0.5103 | IoU: 0.3145 | Tversky: 0.4781 | Hausdorff: 220.9581 | HD95: 36.4005 | LR: 0.000500
