2025-08-16 16:30:34 INFO Starting training with configuration: {'model': {'name': 'unet', 'encoder_name': 'resnet34', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}, 'dataset': {'root': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers', 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 50, 'num_workers': 8, 'positive_ratio': 0.8, 'fg_threshold': 0.04, 'feature_dirs': {'image': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/enhanced_images', 'mask': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/masks', 'distance': '/data/smadper@alumno.upv.es/TFM/datasets/laticifers/distance_maps_pt'}}, 'train': {'batch_size': 32, 'num_epochs': 50, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/data/smadper@alumno.upv.es/TFM/checkpoints_cv2/unet/20250816_163034_unet_resnet18_bce0.5_dice0.5', 'log_interval': 1, 'patience': 100, 'mixed_precision': True, 'experiment_name': 'unet_resnet18_bce0.5_dice0.5', 'timestamp': '20250816_163034'}, 'test': {'batch_size': 1}, 'loss': {'name': 'bce', 'cldice_alpha': 0.5, 'use_topographic': False, 'combine_with': 'dice', 'weights': {'main': 0.5, 'combined': 0.5}, 'topo': {'alpha': 2.0, 'beta': 1.0}}}
2025-08-16 16:30:34 INFO Experiment name: unet_resnet18_bce0.5_dice0.5
2025-08-16 16:30:34 INFO ===== Fold 1 / 5 =====
2025-08-16 16:30:34 INFO Loading model unet with settings {'name': 'unet', 'encoder_name': 'resnet34', 'encoder_weights': 'imagenet', 'classes': 1, 'activation': None, 'dropout': 0.2}
2025-08-16 16:33:34 INFO Epoch 001 | Train Loss: 0.6115 | Val Loss: 0.6170 | Dice: 0.3456 | softDice: 0.1866 | clDice: 0.3803 | softclDice: 0.8459 | IoU: 0.2092 | Tversky: 0.3456 | Hausdorff: 669.3612 | HD95: 128.5810 | LR: 0.001000
2025-08-16 16:36:23 INFO Epoch 002 | Train Loss: 0.4439 | Val Loss: 0.5723 | Dice: 0.4219 | softDice: 0.3231 | clDice: 0.4657 | softclDice: 0.6407 | IoU: 0.2675 | Tversky: 0.4219 | Hausdorff: 631.7448 | HD95: 96.0323 | LR: 0.001000
2025-08-16 16:39:12 INFO Epoch 003 | Train Loss: 0.4047 | Val Loss: 0.5667 | Dice: 0.4343 | softDice: 0.3652 | clDice: 0.4820 | softclDice: 0.5821 | IoU: 0.2775 | Tversky: 0.4343 | Hausdorff: 255.1668 | HD95: 64.1999 | LR: 0.001000
2025-08-16 16:42:01 INFO Epoch 004 | Train Loss: 0.3931 | Val Loss: 0.5605 | Dice: 0.4249 | softDice: 0.3608 | clDice: 0.4554 | softclDice: 0.5940 | IoU: 0.2701 | Tversky: 0.4249 | Hausdorff: 476.7146 | HD95: 59.4123 | LR: 0.001000
2025-08-16 16:44:51 INFO Epoch 005 | Train Loss: 0.3882 | Val Loss: 0.5597 | Dice: 0.4502 | softDice: 0.3903 | clDice: 0.4936 | softclDice: 0.5590 | IoU: 0.2909 | Tversky: 0.4502 | Hausdorff: 261.9418 | HD95: 65.1134 | LR: 0.001000
2025-08-16 16:47:40 INFO Epoch 006 | Train Loss: 0.3819 | Val Loss: 0.5590 | Dice: 0.4664 | softDice: 0.4114 | clDice: 0.5134 | softclDice: 0.5292 | IoU: 0.3045 | Tversky: 0.4664 | Hausdorff: 230.7724 | HD95: 51.3675 | LR: 0.001000
2025-08-16 16:50:26 INFO Epoch 007 | Train Loss: 0.3831 | Val Loss: 0.5631 | Dice: 0.4703 | softDice: 0.4145 | clDice: 0.5205 | softclDice: 0.5268 | IoU: 0.3078 | Tversky: 0.4703 | Hausdorff: 239.2909 | HD95: 44.9401 | LR: 0.001000
2025-08-16 16:53:15 INFO Epoch 008 | Train Loss: 0.3793 | Val Loss: 0.5596 | Dice: 0.4479 | softDice: 0.3939 | clDice: 0.4864 | softclDice: 0.5535 | IoU: 0.2889 | Tversky: 0.4479 | Hausdorff: 242.8436 | HD95: 49.6723 | LR: 0.001000
2025-08-16 16:56:05 INFO Epoch 009 | Train Loss: 0.3771 | Val Loss: 0.5613 | Dice: 0.4560 | softDice: 0.4007 | clDice: 0.4989 | softclDice: 0.5436 | IoU: 0.2958 | Tversky: 0.4560 | Hausdorff: 247.0518 | HD95: 44.4861 | LR: 0.001000
2025-08-16 16:58:54 INFO Epoch 010 | Train Loss: 0.3766 | Val Loss: 0.5618 | Dice: 0.4800 | softDice: 0.4252 | clDice: 0.5351 | softclDice: 0.5081 | IoU: 0.3162 | Tversky: 0.4800 | Hausdorff: 244.6782 | HD95: 42.7097 | LR: 0.001000
2025-08-16 17:01:41 INFO Epoch 011 | Train Loss: 0.3735 | Val Loss: 0.5603 | Dice: 0.4682 | softDice: 0.4150 | clDice: 0.5136 | softclDice: 0.5262 | IoU: 0.3060 | Tversky: 0.4682 | Hausdorff: 228.9661 | HD95: 43.0047 | LR: 0.001000
